"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"50",2,1,10,1,1,1,1,1,4,1,1,4,4,4,2,1,1,4,5,4,1,5,4,1,3,1,1,1,2,24
"51",2,7,5,6,1,1,1,4,1,2,1,3,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,18
"52",1,6,9,8,1,3,1,3,1,1,1,1,1,1,2,1,1,1,4,1,3,5,1,2,1,1,1,1,1,27
"53",2,6,4,7,2,1,1,2,1,3,1,1,2,1,3,8,1,1,6,9,5,2,2,2,1,7,5,2,1,18
"54",2,6,3,4,1,1,3,4,3,1,1,3,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,2,1,19
"55",2,8,7,6,1,1,4,1,1,3,1,2,3,9,3,2,2,10,5,1,9,6,1,7,9,8,3,10,1,23
"56",2,8,7,7,1,3,2,2,2,3,1,2,1,2,1,1,1,1,1,1,2,3,2,2,2,1,2,2,1,20
"57",1,3,5,5,1,1,1,1,1,1,1,10,1,1,1,1,1,1,3,3,1,2,1,3,5,5,5,1,1,22
"58",2,7,10,9,2,1,5,4,3,1,2,1,1,5,5,3,5,3,4,5,4,5,2,5,4,4,3,2,1,18
"59",2,5,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,5,5,1,1,1,1,1,1,1,25
"60",1,4,10,5,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,10,1,1,1,1,3,9,1,1,1,31
"61",2,7,4,4,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,32
"62",2,5,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,35
"63",2,6,5,6,1,3,1,1,5,5,1,1,1,1,2,5,1,1,1,1,1,3,1,5,4,1,1,1,1,23
"64",1,10,10,10,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45
"65",2,7,5,5,1,2,1,1,1,1,2,4,4,1,1,1,1,1,5,5,1,1,1,4,3,1,1,1,2,37
"66",1,8,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,2,1,1,1,1,1,2,37
"67",2,5,6,10,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,3,1,1,2,51
"68",2,5,5,5,1,1,1,1,1,5,1,5,1,1,1,1,1,1,5,1,5,5,1,1,1,5,1,1,1,43
"69",1,8,5,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
"70",2,5,6,5,1,1,1,5,2,5,1,1,5,5,2,1,1,5,5,2,1,5,1,1,1,1,1,3,1,23
"71",2,5,6,7,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,20
"72",2,8,8,5,1,2,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,30
"73",2,5,7,8,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,5,2,1,1,3,10,1,1,2,18
"74",2,10,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,27
"75",1,6,2,6,1,4,1,2,1,1,1,5,4,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,35
"76",2,6,5,3,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,28
"77",2,6,5,5,1,5,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,27
"78",2,8,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,35
"79",2,7,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,36
"80",2,7,6,8,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,22
"81",2,10,7,8,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45
"82",2,7,9,7,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,40
"83",1,9,8,8,1,6,1,2,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,2,25
"84",1,9,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,35
"85",2,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76
"86",2,6,8,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,36
